epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7455,0.24929,0.19155,0.78708,0.95889,0.97222,0.96833,0.89867,0.2336,0.17287,0.75684,0.00019404,0.00019404,0.00019404
2,55.0025,0.26248,0.19861,0.79043,0.91882,0.97222,0.96833,0.89759,0.23687,0.18299,0.75755,0.000351426,0.000351426,0.000351426
3,68.2164,0.27118,0.20334,0.78791,0.93039,0.97222,0.96833,0.88471,0.23416,0.18471,0.75468,0.000470004,0.000470004,0.000470004
4,80.2846,0.26486,0.20214,0.78992,0.96975,0.96039,0.96833,0.88179,0.23099,0.17513,0.7531,0.000413364,0.000413364,0.000413364
5,92.456,0.25784,0.19932,0.78047,0.93404,0.93107,0.96833,0.87729,0.24261,0.18342,0.75574,0.000355152,0.000355152,0.000355152
6,104.592,0.25718,0.19572,0.7862,0.92539,0.97222,0.96833,0.88615,0.22759,0.18892,0.75312,0.00029694,0.00029694,0.00029694
