14:11:35 [INFO] Log-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\doombot_20260416_141135.log
14:11:35 [INFO] Metrik-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\metrics_20260416_141135.csv
14:11:35 [INFO] Lade YOLO-Modell: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\..\DoomDataset\model_weights\trainedyolo.pt
14:11:35 [INFO] Lade ViZDoom-Config: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\custom_config.cfg
14:11:36 [INFO] ViZDoom initialisiert.
14:11:38 [DEBUG] Frame 47 | tic=198 | HP=100 | kein Target | action=idle | inf=17.7ms | 21.4 FPS
14:11:38 [DEBUG] Frame 48 | tic=202 | HP=100 | kein Target | action=idle | inf=17.8ms | 21.5 FPS
14:11:38 [DEBUG] Frame 49 | tic=206 | HP=100 | kein Target | action=idle | inf=18.2ms | 21.7 FPS
14:11:38 [DEBUG] Frame 50 | tic=210 | HP=100 | kein Target | action=idle | inf=17.7ms | 21.7 FPS
14:11:38 [DEBUG] Frame 51 | tic=214 | HP=100 | kein Target | action=idle | inf=18.4ms | 21.8 FPS
14:11:38 [DEBUG] Frame 52 | tic=218 | HP=100 | kein Target | action=idle | inf=18.6ms | 21.5 FPS
14:11:38 [DEBUG] Frame 53 | tic=222 | HP=100 | kein Target | action=idle | inf=17.5ms | 21.3 FPS
14:11:38 [DEBUG] Frame 54 | tic=226 | HP=100 | kein Target | action=idle | inf=18.1ms | 21.3 FPS
14:11:38 [DEBUG] Frame 55 | tic=230 | HP=100 | kein Target | action=idle | inf=18.0ms | 21.3 FPS
14:11:38 [DEBUG] Frame 56 | tic=234 | HP=100 | kein Target | action=idle | inf=18.1ms | 21.5 FPS
14:11:38 [DEBUG] Frame 57 | tic=238 | HP=100 | kein Target | action=idle | inf=17.7ms | 21.6 FPS
14:11:38 [DEBUG] Frame 58 | tic=242 | HP=100 | kein Target | action=idle | inf=17.7ms | 21.6 FPS
14:11:38 [DEBUG] Frame 59 | tic=246 | HP=100 | kein Target | action=idle | inf=17.9ms | 21.7 FPS
14:11:38 [DEBUG] Frame 60 | tic=250 | HP=100 | kein Target | action=idle | inf=17.6ms | 21.8 FPS
14:11:38 [DEBUG] Frame 61 | tic=254 | HP=100 | kein Target | action=idle | inf=18.0ms | 21.9 FPS
14:11:38 [DEBUG] Frame 62 | tic=258 | HP=100 | kein Target | action=idle | inf=17.9ms | 22.1 FPS
14:11:38 [DEBUG] Frame 63 | tic=262 | HP=100 | kein Target | action=idle | inf=17.9ms | 22.2 FPS
14:11:38 [DEBUG] Frame 64 | tic=266 | HP=100 | kein Target | action=idle | inf=18.0ms | 22.3 FPS
14:11:38 [DEBUG] Frame 65 | tic=270 | HP=100 | kein Target | action=idle | inf=17.8ms | 22.4 FPS
14:11:39 [DEBUG] Frame 66 | tic=274 | HP=100 | kein Target | action=idle | inf=15.1ms | 22.1 FPS
14:11:39 [DEBUG] Frame 67 | tic=278 | HP=100 | kein Target | action=idle | inf=18.5ms | 22.2 FPS
14:11:39 [DEBUG] Frame 68 | tic=282 | HP=100 | kein Target | action=idle | inf=19.2ms | 22.3 FPS
14:11:39 [DEBUG] Frame 69 | tic=286 | HP=100 | kein Target | action=idle | inf=18.4ms | 22.4 FPS
14:11:39 [DEBUG] Frame 70 | tic=290 | HP=100 | kein Target | action=idle | inf=19.5ms | 22.3 FPS
14:11:39 [DEBUG] Frame 71 | tic=294 | HP=100 | kein Target | action=idle | inf=18.0ms | 22.3 FPS
14:11:39 [DEBUG] Frame 72 | tic=298 | HP=100 | kein Target | action=idle | inf=15.2ms | 22.1 FPS
14:11:39 [DEBUG] Frame 73 | tic=302 | HP=100 | kein Target | action=idle | inf=17.4ms | 22.1 FPS
14:11:39 [DEBUG] Frame 74 | tic=306 | HP=100 | kein Target | action=idle | inf=17.6ms | 22.2 FPS
14:11:39 [DEBUG] Frame 75 | tic=310 | HP=100 | kein Target | action=idle | inf=17.6ms | 22.2 FPS
14:11:39 [DEBUG] Frame 76 | tic=314 | HP=100 | kein Target | action=idle | inf=18.0ms | 22.3 FPS
14:11:39 [DEBUG] Frame 77 | tic=318 | HP=100 | kein Target | action=idle | inf=17.2ms | 22.4 FPS
14:11:39 [DEBUG] Frame 78 | tic=322 | HP=100 | kein Target | action=idle | inf=17.3ms | 22.5 FPS
14:11:39 [DEBUG] Frame 79 | tic=326 | HP=100 | kein Target | action=idle | inf=17.4ms | 22.6 FPS
14:11:39 [DEBUG] Frame 80 | tic=330 | HP=100 | kein Target | action=idle | inf=14.8ms | 22.7 FPS
14:11:39 [DEBUG] Frame 81 | tic=334 | HP=100 | kein Target | action=idle | inf=18.3ms | 22.8 FPS
14:11:39 [DEBUG] Frame 82 | tic=338 | HP=100 | kein Target | action=idle | inf=17.7ms | 22.5 FPS
14:11:39 [DEBUG] Frame 83 | tic=342 | HP=100 | kein Target | action=idle | inf=18.2ms | 22.6 FPS
14:11:39 [DEBUG] Frame 84 | tic=346 | HP=100 | kein Target | action=idle | inf=17.5ms | 22.4 FPS
14:11:39 [DEBUG] Frame 85 | tic=350 | HP=100 | kein Target | action=idle | inf=18.2ms | 22.5 FPS
14:11:39 [DEBUG] Frame 86 | tic=354 | HP=100 | kein Target | action=idle | inf=18.8ms | 22.6 FPS
14:11:39 [DEBUG] Frame 87 | tic=358 | HP=100 | kein Target | action=idle | inf=18.0ms | 22.7 FPS
14:11:39 [DEBUG] Frame 88 | tic=362 | HP=100 | kein Target | action=idle | inf=18.2ms | 22.7 FPS
14:11:40 [DEBUG] Frame 89 | tic=366 | HP=100 | kein Target | action=idle | inf=17.8ms | 22.5 FPS
14:11:40 [DEBUG] Frame 90 | tic=370 | HP=100 | kein Target | action=idle | inf=18.7ms | 22.6 FPS
14:11:40 [DEBUG] Frame 91 | tic=374 | HP=100 | kein Target | action=idle | inf=19.3ms | 22.4 FPS
14:11:40 [DEBUG] Frame 92 | tic=378 | HP=100 | kein Target | action=idle | inf=17.5ms | 22.5 FPS
14:11:40 [DEBUG] Frame 93 | tic=382 | HP=100 | kein Target | action=idle | inf=18.2ms | 22.6 FPS
