frame_idx,episode,tic,inference_ms,num_detections,target_class,target_conf,target_score,action,health,fps
122,1,498,18.09,0,,,,idle,100.0,23.12
123,1,502,18.76,0,,,,idle,100.0,23.1
124,1,506,18.93,0,,,,idle,100.0,23.16
125,1,510,18.41,0,,,,idle,100.0,23.14
126,1,514,20.2,0,,,,idle,100.0,23.19
127,1,518,19.05,0,,,,idle,100.0,23.04
128,1,522,18.78,0,,,,idle,100.0,23.1
129,1,526,18.17,0,,,,idle,100.0,23.15
130,1,530,35.73,0,,,,idle,100.0,23.13
131,1,534,21.21,0,,,,idle,100.0,23.17
132,1,538,19.81,0,,,,idle,100.0,23.22
133,1,542,17.49,0,,,,idle,100.0,23.27
134,1,546,18.57,0,,,,idle,100.0,23.32
135,1,550,18.41,0,,,,idle,100.0,23.3
136,1,554,17.78,0,,,,idle,100.0,23.35
137,1,558,16.77,0,,,,idle,100.0,23.33
138,1,562,17.72,0,,,,idle,100.0,23.38
139,1,566,17.83,0,,,,idle,100.0,23.43
140,1,570,17.8,0,,,,idle,100.0,23.47
141,1,574,17.22,0,,,,idle,100.0,23.51
142,1,578,15.37,0,,,,idle,100.0,23.49
143,1,582,18.34,0,,,,idle,100.0,23.54
144,1,586,18.54,0,,,,idle,100.0,23.46
145,1,590,18.6,0,,,,idle,100.0,23.5
146,1,594,16.77,0,,,,idle,100.0,23.55
147,1,598,16.4,0,,,,idle,100.0,23.53
148,1,602,17.88,0,,,,idle,100.0,23.51
149,1,606,17.45,0,,,,idle,100.0,23.56
150,1,610,17.66,0,,,,idle,100.0,23.42
151,1,614,18.02,0,,,,idle,100.0,23.29
152,1,618,18.35,0,,,,idle,100.0,23.34
153,1,622,17.8,0,,,,idle,100.0,23.38
154,1,626,19.72,0,,,,idle,100.0,23.42
155,1,630,18.66,0,,,,idle,100.0,23.46
156,1,634,17.71,0,,,,idle,100.0,23.39
157,1,638,17.69,0,,,,idle,100.0,23.43
158,1,642,17.63,0,,,,idle,100.0,23.31
159,1,646,18.59,0,,,,idle,100.0,23.3
